time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-14T06:34:11.230Z,-31.3282,179.7323,415.151,5.7,mww,78,53,2.892,0.82,us,us6000lfhl,2023-10-14T06:48:49.040Z,"",earthquake,9.31,4.72,0.08,15,reviewed,us,us
2023-10-14T05:56:30.819Z,42.9594,-111.4905,6.272,2.8,ml,40,67,0.055,0.53,us,us6000lfhi,2023-10-14T06:06:44.040Z,"35 km NNE of Soda Springs, Idaho",earthquake,2.3,0.815,0.037,96,reviewed,us,us
2023-10-14T05:56:09.439Z,-5.659,145.9583,67.53,4.9,mb,83,63,6.102,0.67,us,us6000lfhj,2023-10-14T06:16:06.040Z,"51 km SSE of Madang, Papua New Guinea",earthquake,10.08,6.653,0.052,115,reviewed,us,us
2023-10-14T05:25:03.079Z,-60.4998,-25.6471,10,4.8,mb,38,95,17.705,0.63,us,us6000lfhc,2023-10-14T05:38:59.040Z,"South Sandwich Islands region",earthquake,5.17,1.911,0.09,38,reviewed,us,us
2023-10-14T04:33:13.692Z,32.6693,140.8365,56.954,4.8,mb,55,135,0.969,0.68,us,us6000lfh9,2023-10-14T05:00:47.040Z,"271 km SSE of Tateyama, Japan",earthquake,3.73,6.631,0.044,158,reviewed,us,us
2023-10-14T04:20:10.434Z,34.435,24.2608,10,4.1,mb,29,184,0.996,1.21,us,us6000lfh7,2023-10-14T05:09:51.040Z,"47 km SSE of Kastrí, Greece",earthquake,7.24,1.937,0.174,11,reviewed,us,us
2023-10-14T03:51:30.558Z,17.6164,-68.1956,10,3.2,ml,16,217,0.523,0.61,us,us6000lfh6,2023-10-14T04:02:17.040Z,"95 km SSE of Boca de Yuma, Dominican Republic",earthquake,4.82,1.999,0.064,32,reviewed,us,us
2023-10-14T02:44:04.353Z,63.7253,-145.0455,22.9,2.8,ml,,,,0.92,ak,ak023d6oows3,2023-10-14T02:46:46.263Z,"Central Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-10-14T02:29:24.932Z,41.4868,142.1157,61.485,4.9,mb,65,127,0.941,0.74,us,us6000lfgw,2023-10-14T03:02:39.741Z,"78 km ENE of Mutsu, Japan",earthquake,5.07,6.877,0.036,243,reviewed,us,us
2023-10-14T02:06:01.575Z,16.5239,-98.6146,38.94,4.8,mb,50,171,1.034,1.08,us,us6000lfgt,2023-10-14T02:30:59.180Z,"9 km W of El Pitahayo, Mexico",earthquake,10.74,8.188,0.032,303,reviewed,us,us
2023-10-14T02:03:24.905Z,-21.15,-179.1936,604.338,4.4,mb,43,108,5.484,0.83,us,us6000lfgv,2023-10-14T03:07:47.040Z,"Fiji region",earthquake,12.03,8.495,0.087,41,reviewed,us,us
2023-10-13T23:53:12.670Z,17.9663333333333,-66.943,12.78,3.08,md,28,183,0.03322,0.17,pr,pr71428443,2023-10-14T03:35:49.077Z,"3 km SW of Fuig, Puerto Rico",earthquake,0.53,0.25,0.126826032148326,11,reviewed,pr,pr
2023-10-13T23:50:12.273Z,-5.6408,146.1329,95.866,4.4,mb,30,119,6.243,0.66,us,us6000lfge,2023-10-14T02:23:22.906Z,"60 km SE of Madang, Papua New Guinea",earthquake,12.3,7.322,0.11,24,reviewed,us,us
2023-10-13T23:32:24.060Z,18.8333,-64.556,8,3.56,md,16,291,0.6258,0.22,pr,pr2023286001,2023-10-14T00:45:18.040Z,"60 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.009,2.94,0.18,7,reviewed,pr,pr
2023-10-13T19:39:48.200Z,19.1931666666667,-155.6265,6.62,2.61,ml,48,66,,0.22,hv,hv73607692,2023-10-13T21:06:18.636Z,"13 km N of Wai‘ōhinu, Hawaii",earthquake,0.32,0.89,0.146566337248438,32,reviewed,hv,hv
2023-10-13T17:53:34.053Z,61.2784,-150.5223,34.2,2.6,ml,,,,0.23,ak,ak023d5a523h,2023-10-13T17:54:55.955Z,"29 km S of Susitna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-10-13T17:39:19.510Z,20.0466666666667,-155.939833333333,6.18,2.59,ml,13,184,,0.15,hv,hv73607622,2023-10-13T22:07:16.040Z,"",earthquake,0.83,1.09,0.158090392738174,17,reviewed,hv,hv
2023-10-13T15:57:38.482Z,58.1973,-32.3529,10,4.6,mb,50,125,7.249,0.77,us,us6000lfct,2023-10-13T16:23:54.040Z,"Reykjanes Ridge",earthquake,11.05,1.926,0.06,84,reviewed,us,us
2023-10-13T15:23:09.249Z,61.2079,-151.1929,60.8,2.8,ml,,,,0.4,ak,ak023d58rpib,2023-10-13T15:24:27.604Z,"9 km NW of Beluga, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-10-13T14:20:56.587Z,-15.4066,-72.3642,105.791,4.5,mb,24,128,3.527,1.16,us,us6000lfcl,2023-10-13T14:39:52.040Z,"15 km S of Orcopampa, Peru",earthquake,8.13,7.166,0.125,19,reviewed,us,us
2023-10-13T14:15:11.675Z,52.2854,-173.527,121.7,3.5,ml,,,,0.64,ak,ak023d584l4j,2023-10-13T20:45:53.764Z,"47 km ENE of Atka, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2023-10-13T14:08:08.350Z,40.3341675,-125.1146698,-0.36,2.78,md,24,304,0.5922,0.51,nc,nc73946745,2023-10-14T02:21:36.271Z,"70 km W of Petrolia, CA",earthquake,11.24,15.54,0.06,7,automatic,nc,nc
2023-10-13T13:19:54.735Z,36.3836,71.1857,131.652,4.5,mb,23,76,2.538,0.57,us,us6000lfcd,2023-10-13T18:05:19.164Z,"45 km SW of Ashkāsham, Afghanistan",earthquake,7.87,4.981,0.171,10,reviewed,us,us
2023-10-13T11:53:38.530Z,-17.8041,-178.4512,579.881,4.2,mb,40,83,4.374,0.81,us,us6000lfc5,2023-10-13T12:19:14.040Z,"Fiji region",earthquake,11.82,9.365,0.074,51,reviewed,us,us
2023-10-13T11:23:04.862Z,31.677,-104.19,6.093,3.1,ml(texnet),27,67,0.1,0.1,tx,tx2023ubox,2023-10-13T14:08:25.234Z,"55 km NW of Toyah, Texas",earthquake,0.5318783922,0.6756896047,0.3,18,reviewed,tx,tx
2023-10-13T11:13:30.979Z,34.7942,61.8689,10,4.2,mb,37,115,5.918,0.51,us,us6000lfc3,2023-10-13T12:00:00.040Z,"18 km SSE of Qarah Bāgh, Afghanistan",earthquake,5.57,1.951,0.11,23,reviewed,us,us
2023-10-13T10:32:59.821Z,67.1781,-154.814,1.1,2.5,ml,,,,0.7,ak,ak023d55ukta,2023-10-13T10:36:05.166Z,"94 km ENE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-10-13T10:15:41.853Z,37.7761,73.9805,85.91,4.4,mb,35,69,2.409,0.36,us,us6000lfbn,2023-10-13T14:34:45.040Z,"43 km S of Murghob, Tajikistan",earthquake,3.89,9.378,0.123,20,reviewed,us,us
2023-10-13T09:59:51.988Z,41.0801,140.1595,172.478,5,mww,90,28,0.745,0.97,us,us6000lfbl,2023-10-13T10:32:53.136Z,"Hokkaido, Japan region",earthquake,4.74,5.79,0.093,11,reviewed,us,us
2023-10-13T08:54:34.504Z,-23.5137,179.9884,554.733,5.2,mww,95,59,6.024,0.65,us,us6000lfbg,2023-10-13T09:12:19.040Z,"south of the Fiji Islands",earthquake,11.77,7.327,0.098,10,reviewed,us,us
2023-10-13T08:04:25.900Z,44.3078346,-110.86483,6.89,2.54,ml,25,88,0.145,0.31,uu,uu60552132,2023-10-13T12:59:53.882Z,"Wyoming",earthquake,0.72,2.13,0.4,12,reviewed,uu,uu
2023-10-13T05:41:19.471Z,-8.9118,124.0155,113.397,4.4,mb,15,126,0.874,0.56,us,us6000lfb1,2023-10-13T12:27:01.040Z,"51 km NW of Pante Makasar, Timor Leste",earthquake,15.31,10.671,0.179,9,reviewed,us,us
2023-10-13T05:20:56.030Z,18.1306,-68.9838,90,3.88,md,11,322,0.714,0.47,pr,pr2023286000,2023-10-13T05:58:39.596Z,"32 km S of La Romana, Dominican Republic",earthquake,6.49,4.69,0.17,9,reviewed,pr,pr
2023-10-13T04:00:14.319Z,-2.9053,-79.1076,89.439,4.4,mb,21,98,1.151,0.63,us,us6000lfa8,2023-10-14T00:53:41.040Z,"11 km W of Cuenca, Ecuador",earthquake,4.53,10.628,0.162,11,reviewed,us,us
2023-10-13T03:44:32.333Z,-51.8028,139.4955,4.864,6,mww,44,94,10.353,0.8,us,us6000lf9x,2023-10-14T03:48:03.879Z,"",earthquake,11.1,3.368,0.08,15,reviewed,us,us
2023-10-13T03:33:14.607Z,37.8749,24.1204,10,4.4,mb,32,73,1.878,0.9,us,us6000lf9u,2023-10-13T19:08:29.333Z,"10 km E of Limín Mesoyaías, Greece",earthquake,5.66,1.906,0.162,11,reviewed,us,us
2023-10-13T03:28:30.720Z,20.1023333333333,-156.1185,39.91,3.2,ml,52,261,,0.14,hv,hv73607242,2023-10-13T21:42:24.310Z,"32 km WNW of Puako, Hawaii",earthquake,0.6,0.8,0.221707244650715,30,reviewed,hv,hv
2023-10-13T03:27:50.614Z,32.325,-101.088,11.9584,2.8,ml(texnet),43,44,0.2,0.2,tx,tx2023uazh,2023-10-13T10:51:07.183Z,"7 km WSW of Westbrook, Texas",earthquake,0.6841538728,0.9063488563,0.2,32,reviewed,tx,tx
2023-10-13T03:24:23.700Z,18.9655,-66.2648333333333,26.4,3.18,md,19,262,0.5467,0.18,pr,pr71428373,2023-10-13T03:47:48.170Z,"55 km N of Brenas, Puerto Rico",earthquake,0.69,5.48,0.0868388005012415,7,reviewed,pr,pr
2023-10-13T02:25:29.375Z,-56.3306,-26.6799,45.451,5.3,mb,48,75,5.965,0.78,us,us6000lf9b,2023-10-13T02:41:50.040Z,"South Sandwich Islands region",earthquake,10.25,6.111,0.077,58,reviewed,us,us
2023-10-13T02:09:21.350Z,17.9495,-66.9498333333333,12.88,2.7,md,9,209,0.07182,0.29,pr,pr71428368,2023-10-13T02:43:15.100Z,"5 km WSW of Guánica, Puerto Rico",earthquake,1.33,0.68,0.0323636149464317,4,reviewed,pr,pr
2023-10-13T01:09:26.929Z,36.038,68.7901,10,4.7,mb,60,58,1.508,0.91,us,us6000lf95,2023-10-13T01:47:45.492Z,"12 km NNE of Pul-e Khumrī, Afghanistan",earthquake,6.95,1.849,0.066,69,reviewed,us,us
2023-10-13T01:00:33.671Z,61.6073,-27.2479,10,4.5,mb,36,142,4.138,0.82,us,us6000lf94,2023-10-13T01:44:49.040Z,"Iceland region",earthquake,6.95,1.916,0.102,28,reviewed,us,us
2023-10-13T00:24:16.603Z,13.7842,120.9418,10,5.2,mb,88,84,8.081,0.91,us,us6000lf92,2023-10-14T03:54:08.860Z,"3 km N of Mabini, Philippines",earthquake,8.77,1.867,0.047,150,reviewed,us,us
2023-10-13T00:03:14.885Z,36.0508,68.715,10,4.9,mb,112,53,1.53,0.77,us,us6000lf8s,2023-10-13T00:18:38.040Z,"Hindu Kush region, Afghanistan",earthquake,3.84,1.833,0.05,126,reviewed,us,us
2023-10-12T22:54:43.582Z,-11.3364,166.2948,98.709,4.6,mb,28,147,4.181,0.3,us,us6000lf8m,2023-10-12T23:10:49.040Z,"86 km SE of Lata, Solomon Islands",earthquake,8.44,9.434,0.109,25,reviewed,us,us
2023-10-12T22:33:40.483Z,44.2272,148.5026,48.656,5.1,mww,87,136,4.253,0.69,us,us6000lf8b,2023-10-12T22:50:27.040Z,"121 km SSE of Kuril’sk, Russia",earthquake,8.95,3.566,0.093,11,reviewed,us,us
2023-10-12T21:46:39.844Z,-6.6348,128.9516,219.181,4.4,mb,58,52,2.303,0.57,us,us6000lf83,2023-10-12T22:40:20.040Z,"Banda Sea",earthquake,3.32,7.979,0.085,40,reviewed,us,us
2023-10-12T21:46:36.210Z,36.4674988,-120.8840027,15.45,2.53,md,46,134,0.1079,0.19,nc,nc73946525,2023-10-13T02:33:11.031Z,"20 km WNW of New Idria, CA",earthquake,0.52,0.75,0.16,44,automatic,nc,nc
2023-10-12T21:41:21.480Z,36.4661674,-120.8755035,15.85,3.15,ml,60,135,0.1035,0.2,nc,nc73946520,2023-10-13T19:19:02.194Z,"19 km WNW of New Idria, CA",earthquake,0.4,0.61,0.175,21,automatic,nc,nc
2023-10-12T21:04:24.805Z,51.693,100.0929,10,4.1,mb,24,55,2.21,0.54,us,us6000lf7t,2023-10-12T21:26:28.040Z,"44 km WNW of Turt, Mongolia",earthquake,6.57,1.693,0.131,16,reviewed,us,us
2023-10-12T20:06:43.920Z,29.5386,81.2143,10,4.4,mb,37,168,3.969,0.81,us,us6000lf7f,2023-10-13T14:53:52.040Z,"Nepal",earthquake,9.47,1.935,0.098,30,reviewed,us,us
2023-10-12T20:00:40.715Z,14.8766,-87.5663,10,4.6,mb,93,70,0.863,0.71,us,us6000lf7c,2023-10-14T01:23:01.688Z,"13 km NNE of La Libertad, Honduras",earthquake,5.56,1.892,0.06,82,reviewed,us,us
2023-10-12T19:46:32.337Z,44.2393,-115.1089,4.658,2.5,ml,14,57,0.231,0.42,us,us6000lf74,2023-10-13T14:44:07.040Z,"13 km W of Stanley, Idaho",earthquake,1.28,3.759,0.042,74,reviewed,us,us
2023-10-12T19:30:22.779Z,44.2357,-115.091,5.587,2.9,ml,24,48,0.218,0.75,us,us6000lf70,2023-10-13T14:05:32.040Z,"12 km W of Stanley, Idaho",earthquake,1.49,1.307,0.037,96,reviewed,us,us
2023-10-12T17:13:06.330Z,18.6443333333333,-65.939,49.62,3.02,md,7,213,0.3606,0.2,pr,pr71428323,2023-10-12T17:59:14.312Z,"24 km NNW of Loíza, Puerto Rico",earthquake,1.4,2.53,0.0976637780454195,4,reviewed,pr,pr
2023-10-12T14:07:36.010Z,19.017,-67.194,11,3.57,md,12,233,0.5557,0.46,pr,pr2023285002,2023-10-12T15:31:51.040Z,"58 km N of San Antonio, Puerto Rico",earthquake,1.47,3.2,0.06,10,reviewed,pr,pr
2023-10-12T13:40:17.984Z,-39.0082,178.7966,10,4.7,mb,28,194,1.472,1.14,us,us6000lf2w,2023-10-12T21:00:41.147Z,"72 km ESE of Wainui, New Zealand",earthquake,5.7,1.667,0.159,17,reviewed,us,us
2023-10-12T13:40:02.892Z,65.9101,-163.5774,10,2.6,ml,15,154,0.486,1.11,us,us6000lf4m,2023-10-12T15:37:24.040Z,"",earthquake,3.36,1.958,0.074,24,reviewed,us,us
2023-10-12T12:16:28.890Z,22.7906,120.5135,15.972,4.7,mb,40,70,0.519,0.61,us,us6000lf26,2023-10-13T17:32:48.380Z,"28 km NE of Kaohsiung, Taiwan",earthquake,5.83,4.624,0.093,35,reviewed,us,us
2023-10-12T11:53:18.402Z,63.1525,-149.7193,84,3.2,ml,,,,0.63,ak,ak023d3j12pq,2023-10-13T12:27:45.040Z,"46 km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-10-12T11:06:46.620Z,18.617,-66.7503333333333,11.15,3.12,md,15,227,0.2515,0.19,pr,pr71428293,2023-10-12T17:58:52.584Z,"",earthquake,0.53,0.66,0.125278579328338,9,reviewed,pr,pr
2023-10-12T11:04:05.956Z,38.8742,43.4399,10,4.5,mb,41,36,0.636,1.23,us,us6000lf1y,2023-10-12T13:20:25.672Z,"18 km SSE of Erciş, Turkey",earthquake,5.01,0.954,0.11,24,reviewed,us,us
2023-10-12T10:34:57.612Z,-6.7721,155.2296,48.957,5.1,mb,57,43,3.986,1.14,us,us6000lf1v,2023-10-12T11:11:21.495Z,"Bougainville region, Papua New Guinea",earthquake,8.66,6.451,0.088,42,reviewed,us,us
2023-10-12T09:30:00.747Z,-10.24,119.915,27.646,4.9,mb,35,100,2.534,0.91,us,us6000lf1n,2023-10-12T09:46:31.040Z,"Sumba region, Indonesia",earthquake,5.67,5.989,0.128,19,reviewed,us,us
2023-10-12T08:54:39.419Z,37.7446,74.0347,10,4.6,mb,29,98,2.462,0.96,us,us6000lf1h,2023-10-12T09:49:07.040Z,"47 km S of Murghob, Tajikistan",earthquake,4.03,1.962,0.141,15,reviewed,us,us
2023-10-12T08:46:10.363Z,6.9735,-82.6372,10,4.7,mb,70,145,1.809,0.68,us,us6000lf1e,2023-10-12T09:33:18.040Z,"",earthquake,7.1,1.913,0.038,207,reviewed,us,us
2023-10-12T08:38:53.600Z,33.9085,-118.2701667,21.96,2.52,ml,115,50,0.04148,0.21,ci,ci40581528,2023-10-12T19:05:29.180Z,"2 km SW of Willowbrook, CA",earthquake,0.16,0.31,0.144,24,reviewed,ci,ci
2023-10-12T07:51:18.712Z,-4.3999,153.621,109.234,4.5,mb,18,225,1.468,0.17,us,us6000lf1a,2023-10-12T09:59:12.040Z,"150 km E of Kokopo, Papua New Guinea",earthquake,7.29,9.414,0.14,15,reviewed,us,us
2023-10-12T06:59:47.010Z,17.9188333333333,-66.9371666666667,16.73,2.57,md,5,229,0.1137,0.12,pr,pr71428283,2023-10-12T07:16:44.030Z,"6 km SSW of Guánica, Puerto Rico",earthquake,1.07,1.61,0.135914999395436,5,reviewed,pr,pr
2023-10-12T06:55:21.745Z,-25.3141,-69.1537,122.529,4.2,mb,28,58,0.423,0.48,us,us6000lf0v,2023-10-12T07:30:10.040Z,"134 km E of Taltal, Chile",earthquake,8.51,5.642,0.235,5,reviewed,us,us
2023-10-12T06:18:41.103Z,-4.5769,133.9424,7.334,5.2,mww,62,62,2.36,0.85,us,us6000lf0q,2023-10-12T06:42:51.040Z,"175 km NE of Tual, Indonesia",earthquake,7.52,3.908,0.093,11,reviewed,us,us
2023-10-12T06:04:51.576Z,-39.4968,-72.1358,81.908,4.7,mb,69,66,0.211,0.67,us,us6000lf0i,2023-10-12T12:42:17.862Z,"Araucania-Los Lagos border region, Chile",earthquake,8.73,6.024,0.079,49,reviewed,us,us
2023-10-12T05:33:02.136Z,31.548,-104.145,6.0802,2.5,ml(texnet),18,69,0,0.2,tx,tx2023tzhx,2023-10-12T12:48:47.682Z,"42 km NW of Toyah, Texas",earthquake,1.033941702,1.017967076,0.1,7,reviewed,tx,tx
2023-10-12T05:13:04.420Z,19.1981666666667,-155.500833333333,36.31,2.89,ml,57,70,,0.12,hv,hv73606227,2023-10-12T21:15:54.880Z,"2 km WSW of Pāhala, Hawaii",earthquake,0.39,0.46,0.144363126899227,39,reviewed,hv,hv
2023-10-12T05:00:21.170Z,-17.8008,-178.655,561.575,4.9,mb,86,32,4.504,0.86,us,us6000lf07,2023-10-12T05:20:54.040Z,"216 km E of Levuka, Fiji",earthquake,9.6,6.855,0.026,474,reviewed,us,us
2023-10-12T04:20:11.880Z,18.1818,-68.5528,54,3.68,md,12,288,0.3737,0.34,pr,pr2023285000,2023-10-12T04:48:55.403Z,"22 km SSE of Boca de Yuma, Dominican Republic",earthquake,3.62,3.56,0.1,9,reviewed,pr,pr
2023-10-12T04:15:43.642Z,54.4949,160.1794,112.794,4.2,mb,37,133,1.731,1.02,us,us6000lf03,2023-10-12T04:36:04.040Z,"103 km ESE of Mil’kovo, Russia",earthquake,12.05,12.406,0.096,30,reviewed,us,us
2023-10-12T03:30:31.199Z,-29.3289,-176.2373,10,4.8,mb,31,115,1.472,1.15,us,us6000lezl,2023-10-12T03:54:18.040Z,"Kermadec Islands region",earthquake,6.38,1.876,0.107,27,reviewed,us,us
2023-10-12T03:17:39.234Z,52.8249,-171.2676,113.189,4.4,mb,43,161,1.469,0.83,us,us6000lez7,2023-10-12T17:23:33.615Z,"",earthquake,9.78,9.005,0.056,90,reviewed,us,us
2023-10-12T03:02:50.381Z,60.3445,-150.7181,65.5,3.4,ml,,,,0.44,ak,ak023d3dyut1,2023-10-12T16:54:02.800Z,"17 km S of Funny River, Alaska",earthquake,,0.9,,,reviewed,ak,ak
